feature,weight,std
total_pymnt,0.3110201099259376,0.0004264928257898263
out_prncp,0.2528671154037362,0.00045989072504931655
installment,0.21680243622145196,0.00018334757276761745
total_rec_int,0.10300943642724517,0.00024758235911267025
loan_amnt,0.10084976403151176,0.00042925690414230127
last_pymnt_amnt,0.1001801268518497,0.0001442864641260798
recoveries,0.06630841694163567,0.00011456050109511518
int_rate,0.037087633216408865,0.0001242158814354202
grade_D,0.011968839673228171,0.00015046834579097749
bc_open_to_buy,0.005635496320001465,9.57899372390956e-05
total_bc_limit,0.005518957252822721,7.407105696979706e-05
total_rec_late_fee,0.00520864886362844,6.297905278020955e-05
grade_C,0.005147604590344334,0.00011333867266285783
num_bc_sats,0.0041639593685617315,9.544324794667857e-05
tot_hi_cred_lim,0.0034707369014944423,5.143465682585276e-05
revol_util,0.002876017693590094,4.451129912115929e-05
term_ 60 months,0.0026050181167379003,0.0001022290657913372
revol_bal,0.0016347841368131721,5.1163671946014765e-05
num_bc_tl,0.001597787607550072,5.0891244150694465e-05
num_actv_rev_tl,0.0012477079493979693,4.3174727733693683e-05
